zipcode,latitude,longitude,state,population,2015,2016,2017,2018,2019,2020,2021,2022,2023,Net_Income,bedroom_number,bathroom_number,living_space,land_space
75142,32.57004,-96.24637,TX,22870,133828.4473,148762.1552,164647.8625,182868.3425,193287.6009,206169.6977,244774.5468,288512.7307,282982.0293,41859,4,2,2214,2647
75144,32.11157,-96.20954,TX,4030,88309.69655,95603.18026,101741.1382,116346.0949,123307.3341,138762.3124,167658.6742,198148.3395,199235.7112,6864,3,3,2172,2188
75146,32.57608,-96.75137,TX,24873,120863.8707,138007.1597,154933.2601,173727.3597,187009.618,198437.2467,233434.9555,285810.5361,288253.6387,58738,3,2,2239,5571
75148,32.12491,-96.01173,TX,6237,140034.2499,150198.3058,162791.8572,174673.4772,184247.8026,199545.9861,255791.1917,295823.5125,291387.1543,14231,3,3,2210,522
75149,32.76994,-96.6151,TX,59225,97750.13781,115460.5703,135205.437,152800.7142,163341.8101,172775.444,198623.4088,241957.692,247677.2255,150000,3,2,1590,5567
75150,32.81545,-96.6308,TX,64817,113024.2676,130546.3884,149426.0153,165931.6778,177235.5305,188060.6302,217145.0815,260742.4408,266254.3918,160064,4,2,1808,5887
75154,32.52319,-96.80885,TX,47111,166723.3359,184454.0271,205214.7977,223808.1988,235576.9421,248925.7552,289214.6534,345545.5318,346892.2688,84053,4,3,2426,4184
75156,32.28759,-96.09999,TX,16500,157742.9977,161057.5071,174262.9976,190472.578,201745.9671,217035.4707,281991.0955,329664.6219,316204.3783,32193,3,2,1853,3482
75158,32.46694,-96.39315,TX,5496,160550.5454,174829.0137,192923.1511,215152.463,229710.645,244819.4207,293174.603,348785.7553,339938.9386,7563,3,2,2092,482
75159,32.60652,-96.53939,TX,22514,123070.7618,139568.1401,156554.1688,174878.6935,186579.6234,198415.5937,232362.3274,286395.9239,287143.3933,41339,4,2,2118,2111
75160,32.76466,-96.29835,TX,24465,114590.1733,128605.9772,144542.4865,160832.3784,171552.9367,183408.0525,215931.0186,258428.1944,258464.613,61824,3,2,2187,3174
75161,32.73609,-96.17129,TX,8040,146839.5995,163653.6956,177246.2991,198395.2417,211610.2513,227009.9889,275249.4727,329406.9654,326841.4225,13101,3,2,1878,7
75163,32.1672,-96.10999,TX,2450,175108.8748,177942.9856,191905.0676,210769.1961,220749.9354,235289.5843,308930.9785,367810.0275,359387.7748,4565,3,2,2133,1735
75165,32.36687,-96.79677,TX,47183,162059.2877,178863.7942,197962.4603,215859.1249,225182.2739,238666.4027,278669.905,333064.6062,333616.2812,86396,4,3,2376,5168
75166,33.01671,-96.4495,TX,5589,209190.0526,231126.495,247356.592,258603.4135,264389.7142,272690.9771,324056.4168,403709.7645,387605.4142,6009,4,3,2715,5106
75167,32.36123,-96.91547,TX,12332,219931.2434,240128.1914,265676.7648,287990.2941,300764.3193,320380.9114,378042.5518,450873.5242,456916.3568,15079,4,3,2776,1576
75169,32.70335,-95.99754,TX,14496,119037.1049,128106.5662,140474.4707,157280.4691,170498.0513,189008.7936,224148.1778,255307.0535,252134.7573,33066,3,2,2000,1267
75172,32.60369,-96.67458,TX,5248,63842.87947,75714.31184,84561.4292,99369.80354,115227.6484,139292.7106,162823.9133,196900.5431,203212.8012,13351,3,2,1092,5213
75180,32.71937,-96.61841,TX,26560,83596.38054,98934.58557,119113.2933,141296.4698,153528.9102,165164.6328,190237.7028,230091.9479,230087.9339,65779,3,2,1723,5095
75181,32.72696,-96.555,TX,27336,156568.8438,173551.3511,193486.8608,210150.2914,219328.4404,228819.0715,267574.746,330317.7611,329361.7781,54597,4,3,2156,5754
75182,32.80033,-96.55425,TX,7647,347042.2675,379839.7971,402280.8735,416866.368,425027.1372,438397.1142,508712.2609,615573.1077,636919.9675,7442,4,3,23709,386
75189,32.94821,-96.30941,TX,35243,186109.8784,204341.5987,226088.7711,241045.7977,245334.3995,251965.4636,292549.8117,364021.405,352560.665,45204,4,3,2276,5231
75201,32.78826,-96.79953,TX,17491,587711.627,633327.0414,661118.4763,687549.6406,695717.3922,698088.8711,750893.6692,867553.5308,836620.0554,21092,2,3,2459,1861
75202,32.77843,-96.8037,TX,2212,197161.9181,226050.1635,242688.6258,255369.9148,261039.09,263546.2252,275425.0293,308774.7927,309510.8119,4612,2,2,1273,1
75203,32.74439,-96.80206,TX,16455,62590.53996,77227.12974,91938.24715,111527.8278,124979.7714,137322.2586,169601.7644,203854.9811,203655.135,43282,3,2,1726,4665
75204,32.80216,-96.78885,TX,31860,300754.202,337329.8664,362165.833,383073.0698,386681.1829,390635.9094,423693.3563,480879.5036,491783.0788,55967,2,3,2295,2128
75205,32.83657,-96.79617,TX,24804,1003043.425,1056838.673,1074770.786,1103672.222,1112312.204,1130063.415,1315597.555,1637553.291,1716398.652,19355,4,5,4573,3904
75206,32.83161,-96.77032,TX,38209,321127.6955,360283.3637,383150.2358,406327.6019,415904.0918,422943.0765,467230.4362,540771.2728,547033.4823,57181,3,3,2247,5718
75208,32.75409,-96.83943,TX,29941,182860.7908,221942.373,254291.908,286937.0514,297314.0192,313823.1344,353850.618,404228.7357,411282.783,71152,3,3,2049,5847
75209,32.8487,-96.8257,TX,14205,471241.0739,522083.0002,554010.1568,584374.9676,593442.7714,601874.0003,675238.8825,817384.8151,846092.4317,23756,3,3,2911,5056
75210,32.77141,-96.74618,TX,9270,48565.51896,51731.04774,59454.13297,74279.29026,84009.41411,96094.69419,115890.9185,138843.2971,139193.3395,28022,4,2,1402,4419
75211,32.73649,-96.90214,TX,75213,92785.92701,108981.281,124545.5925,140565.5709,153663.2556,166786.0519,192663.6231,228845.4158,233564.7747,194248,3,2,1477,6482
75212,32.78203,-96.87853,TX,26673,65642.07946,80744.02367,99283.35185,124514.984,145705.1767,162802.7809,188044.4853,224938.1795,230956.7722,80059,3,3,1762,5230
75214,32.82899,-96.74348,TX,33621,401759.2842,441466.6494,463647.5615,484540.5216,494771.841,509119.6699,578532.8605,681219.3424,711708.9787,47441,3,3,2619,6215
75215,32.75259,-96.76075,TX,17960,49433.24825,57131.13645,65823.68574,81642.40942,94985.50543,106010.7291,131359.6534,160577.24,161714.3606,57310,3,2,1525,4736
75216,32.71158,-96.78256,TX,55108,49628.68327,59989.94444,71808.66189,90906.0652,105424.7219,122078.8339,145927.8619,176874.7358,176048.4958,173753,3,2,1446,6820
75217,32.71291,-96.68243,TX,87767,63902.36598,79789.97823,98791.70148,117923.3972,131477.5867,142659.6176,165314.3497,201128.5751,204618.1606,245254,3,2,1368,5317
75218,32.84136,-96.70357,TX,21355,262517.5702,294834.6715,321605.4966,344288.4139,350129.2162,359669.3652,407453.7755,473468.1708,499340.7796,38855,3,3,2298,5727
75219,32.81087,-96.81315,TX,24100,249260.2794,277092.2698,293299.6148,305403.9938,307319.0011,309597.2627,329978.2418,371939.1389,379239.6996,47949,2,3,2117,1679
75220,32.86692,-96.87571,TX,40671,190091.1544,225094.757,250457.9333,274781.0051,283794.5763,297288.8554,343451.2846,410156.2639,430734.8683,101351,4,4,3997,5072
75223,32.79255,-96.74556,TX,14270,92669.02761,107069.7102,118759.1302,139303.294,155939.4819,174829.197,206693.1572,242017.0012,240010.6744,38533,3,2,1693,6786
75224,32.71117,-96.83953,TX,36373,94976.16059,112215.2581,131546.4023,151153.5454,165299.6325,176608.6691,204151.8637,240375.9797,239881.3512,96403,3,2,1537,5219
75225,32.86511,-96.79109,TX,21703,910465.1435,967023.6702,987578.0089,1008145.855,1015020.989,1030785.199,1190844.893,1453572.88,1532262.687,20210,4,4,3831,4246
75226,32.78315,-96.77654,TX,5133,142999.0917,171487.7656,191476.7226,214761.1986,238566.2163,265393.5355,293797.0394,339219.1045,336919.7844,7498,0,1,1035,937
75227,32.77044,-96.68831,TX,58395,82185.68148,101731.8167,121875.0359,139531.0674,150657.1663,160432.0776,185896.2406,222266.9436,225729.99,166856,3,3,1891,5585
