zipcode,latitude,longitude,state,population,bedroom_number,bathroom_number,living_space,land_space,year_built,2015,2016,2017,2018,2019,2020,2021,2022,2023,net_income,2024
75216,32.71158,-96.78256,TX,55108,3,2,1446,6820,1977,49628.68,59989.94,71808.66,90906.07,105424.72,122078.83,145927.86,176874.74,176048.5,173753,184462.68
75217,32.71291,-96.68243,TX,87767,3,2,1368,5317,1954,63902.37,79789.98,98791.7,117923.4,131477.59,142659.62,165314.35,201128.58,204618.16,245254,213125.38
75218,32.84136,-96.70357,TX,21355,3,3,2298,5727,2000,262517.57,294834.67,321605.5,344288.41,350129.22,359669.37,407453.78,473468.17,499340.78,38855,476776.9
75219,32.81087,-96.81315,TX,24100,2,3,2117,1679,2007,249260.28,277092.27,293299.61,305403.99,307319,309597.26,329978.24,371939.14,379239.7,47949,383934.37
75220,32.86692,-96.87571,TX,40671,4,4,3997,5072,1953,190091.15,225094.76,250457.93,274781.01,283794.58,297288.86,343451.28,410156.26,430734.87,101351,419235.97
75223,32.79255,-96.74556,TX,14270,3,2,1693,6786,1945,92669.03,107069.71,118759.13,139303.29,155939.48,174829.2,206693.16,242017,240010.67,38533,237742.08
75224,32.71117,-96.83953,TX,36373,3,2,1537,5219,1999,94976.16,112215.26,131546.4,151153.55,165299.63,176608.67,204151.86,240375.98,239881.35,96403,243107.94
75225,32.86511,-96.79109,TX,21703,4,4,3831,4246,1962,910465.14,967023.67,987578.01,1008145.85,1015020.99,1030785.2,1190844.89,1453572.88,1532262.69,20210,1474561.66
75226,32.78315,-96.77654,TX,5133,0,1,1035,937,2006,142999.09,171487.77,191476.72,214761.2,238566.22,265393.54,293797.04,339219.1,336919.78,7498,329697.24
75227,32.77044,-96.68831,TX,58395,3,3,1891,5585,1990,82185.68,101731.82,121875.04,139531.07,150657.17,160432.08,185896.24,222266.94,225729.99,166856,231980.45
75228,32.82456,-96.6805,TX,71450,3,2,1717,6494,2005,113993.41,134009.38,156594.02,177809.52,190809.44,203197.75,234648.95,275167.86,278755.97,189159,280733.08
75229,32.8939,-96.86517,TX,32924,4,4,3762,2625,1969,316030.34,357431.33,383527.03,403167.7,415488.4,433373.05,494536.83,585817.7,614791.71,61631,592681.87
75230,32.90202,-96.79226,TX,26335,4,4,3721,1254,1939,439387.79,478460.44,504474.54,528545,532921.96,543804.43,616296.27,748044.44,786587.33,42207,769596.86
75231,32.87695,-96.74967,TX,38823,2,3,1760,2081,1958,101754.04,118577.75,136672.92,154206.57,163624.39,171927.53,189668.99,223990.3,237278.15,110106,235108.9
75232,32.65878,-96.83968,TX,33561,3,2,1782,4164,1993,86344.51,102394.86,120708.87,140940.16,156556.81,170076.94,198726.88,240593.53,244476.58,92669,244772.29
75233,32.70444,-96.87271,TX,16743,4,2,1905,4758,1979,122257.63,141453.82,161127.21,183027.6,198421.77,212521.57,247072.93,297607.24,301706.26,37773,301148.86
75234,32.92423,-96.88904,TX,32728,3,3,2086,4460,1935,157221.5,180306.82,207880.32,233056.41,244633.01,258116.26,294483.16,341646.65,348664.29,79999,345109.26
75235,32.83219,-96.84798,TX,19042,2,2,1500,6452,1976,107736.19,132052.68,152140.73,170670.48,179884.93,189196.43,212196.05,245664.77,250008.39,46939,245534.01
75236,32.6866,-96.93455,TX,17545,3,2,1847,5800,1930,113873.54,130563.61,146398.73,162783.62,173906.94,186674.01,217466.63,264621.77,270703.02,48027,267811.82
75237,32.66489,-96.87238,TX,18823,4,2,1886,7995,1966,113395.44,128518.43,146374.47,163907.99,177683.25,190503.77,221628.3,269984.68,273370.79,64572,278130.75
75238,32.87855,-96.70785,TX,31953,4,3,2330,6694,1958,294946.97,329000.73,354348.96,372422.56,380622.26,393734.39,450149.04,522973.91,549749.83,59210,524174.98
75240,32.93194,-96.78924,TX,26442,3,3,2304,4179,1966,170095.88,194867.89,220172.86,244689.26,250381.13,261634.85,297652.07,353797.81,375336.26,64460,362113.07
