zipcode,latitude,longitude,city,state,population,density,state_x,City,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,Net_Income
75938,30.93436,-94.35605,Colmesneil,TX,2217.0,4.5,TX,Colmesneil,102906.70920989885,107299.13648203696,111884.21402531226,113771.72323553999,119935.07761392382,132072.29711369096,152130.15255059893,169885.677573473,155716.66741237353,4947.0
75941,31.18078,-94.76219,Diboll,TX,8470.0,37.5,TX,Diboll,102616.33748696127,101510.73945031229,104054.93067538482,106142.3090200277,117964.3821055971,130351.89945592116,147222.94432128943,162635.48665478258,166062.6500665234,19338.0
75946,31.81372,-94.52392,Garrison,TX,3714.0,10.5,TX,Garrison,135745.01793336423,142875.18914284985,143094.09680027107,143944.37063309504,150539.59218382736,163093.69899148025,181309.77170817959,204798.79767731344,210543.1652214034,6953.0
75949,31.22907,-94.51782,Huntington,TX,8469.0,15.9,TX,Huntington,125103.9249383955,129694.78529830316,134785.31992394922,136635.64182020622,147394.07842029168,161405.2514900798,188563.67194486293,209584.35666812942,203957.4937111945,16069.0
75951,30.93098,-94.05762,Jasper,TX,15026.0,15.6,TX,Jasper,104663.11026745992,109380.3702719031,110716.91171837249,115410.3194876247,120370.8362983251,129083.53702564862,147170.3460930958,165002.21481321883,146746.60109177447,36652.0
75954,31.92169,-94.05523,Joaquin,TX,2550.0,9.2,TX,Joaquin,130291.60988631532,138011.22949539963,134080.00765851038,132370.53185157664,142372.54166421658,159609.52909121086,180279.7499713298,188945.08474960073,177224.5695106,6771.0
75956,30.6721,-93.96706,Kirbyville,TX,8275.0,13.1,TX,Kirbyville,105086.25207367171,109184.57271474526,115568.07682854518,120642.08790322975,125674.19911510854,131121.2858026022,150351.25389346332,169136.71682843103,158891.0361154369,13534.0
75961,31.5576,-94.51098,Nacogdoches,TX,14909.0,20.6,TX,Nacogdoches,106926.66194853676,110101.48232517806,113825.6302577952,115726.28403680766,121454.58718836779,133140.93329626517,145991.51340980595,161373.74021836914,167108.67266405703,36491.0
75964,31.63334,-94.75057,Nacogdoches,TX,19889.0,34.5,TX,Nacogdoches,109700.2236097412,112670.6995436265,114510.52269147379,116401.22950219655,123210.8489292905,133976.6653201924,146744.2690031232,162553.99137746773,169146.62767180408,45775.0
75965,31.7284,-94.62629,Nacogdoches,TX,18231.0,91.3,TX,Nacogdoches,161910.44736942512,166720.30970733557,169367.07482360446,173351.56309739067,180160.12471678815,192573.09170772647,213513.54815430287,244825.58901534276,253198.81146834738,32922.0
75966,30.83783,-93.72611,Newton,TX,4462.0,6.4,TX,Newton,82442.68471775958,83996.00418004052,89120.3022152752,93369.44055454666,105903.93142800976,108706.90120777529,118679.84373669927,128323.12069739804,128844.35365819847,9879.0
75969,31.44765,-94.89758,Pollok,TX,3719.0,17.3,TX,Pollok,129619.85192035283,130845.69462081905,134794.550464917,137936.53611738613,149411.34544872405,166372.80799064168,192289.8166746547,215631.36246272863,212760.59480862477,8048.0
75972,31.49407,-94.12173,San Augustine,TX,6190.0,6.6,TX,San Augustine,117529.3634159603,125516.3809385785,133032.91745253422,145213.6885690353,151574.92082267112,158229.18029080774,173693.62759685982,182267.3490669514,156744.23794052,14813.0
75973,31.71977,-93.93259,Shelbyville,TX,2809.0,6.1,TX,Shelbyville,160002.99657956543,168968.85348058777,163702.41394943048,164155.77738788328,175165.23583568085,196304.05888654347,227103.97656626956,246749.43367529867,221726.5499602315,4810.0
75974,31.95674,-94.23713,Tenaha,TX,3296.0,12.6,TX,Tenaha,123347.03288257921,128080.3648836823,125719.24705459287,123405.13247768686,133145.05514487342,148588.60972387472,169964.90636580775,183594.67443527284,175598.85707155935,6799.0
75975,31.89535,-94.4122,Timpson,TX,3868.0,10.7,TX,Timpson,146444.86549710654,149817.27701188758,148225.55348334418,147221.92199287403,159820.07317853245,180004.35041015004,206758.0727321535,223376.43126183547,206611.49436236598,7059.0
75979,30.77477,-94.4026,Woodville,TX,12023.0,15.1,TX,Woodville,88525.15542965138,91823.17105534575,99789.1826403229,104158.4506710951,107178.57838621706,119261.11368482141,132860.04480696408,146920.0070309872,137854.5454561246,17317.0
75980,31.12387,-94.34703,Zavalla,TX,2407.0,5.9,TX,Zavalla,91078.56693407275,95248.89055238606,99207.03903694585,101671.42515560218,115327.25280270091,131340.61396326617,146134.11652001584,158041.4089564907,155619.36013547843,4516.0
76001,32.63076,-97.15408,Arlington,TX,37134.0,1342.7,TX,Arlington,166982.67685505268,185309.85874488903,203943.75184000237,222349.75858204416,232829.6953063706,245585.9311094639,286283.56228866475,349301.2722255474,348685.89762935496,62474.0
76002,32.62233,-97.09265,Arlington,TX,34402.0,1862.6,TX,Arlington,166683.9075507227,184219.44085436003,202379.04451737262,220859.3979455482,231223.4907683592,243374.3943097235,286034.2359605455,349302.6409193695,346306.6803124644,64915.0
76006,32.78511,-97.10019,Arlington,TX,24547.0,1240.4,TX,Arlington,204250.99074588646,218674.60135273685,237451.34116571452,257024.9811233196,267161.85462414287,278875.20089094486,318750.19426871085,383885.221364924,393565.68035597034,71871.0
76008,32.68182,-97.62738,Aledo,TX,22091.0,104.7,TX,Aledo,302460.27690599236,325272.9915375064,341301.49675936607,356530.67619414884,369312.90566525835,380829.35892292164,438714.2783855941,521912.1131098854,525848.8796677206,19648.0
76009,32.41635,-97.20115,Alvarado,TX,20751.0,81.7,TX,Alvarado,124466.94103832271,140211.7642816086,156428.93314467458,173008.91853668497,184568.97633743414,201764.65900141318,236837.5386968518,286921.27088686905,286134.29568772897,47032.0
76010,32.72271,-97.08065,Arlington,TX,57448.0,2517.8,TX,Arlington,86391.38252434657,99833.66147494603,118108.03444397711,137642.33267277942,149709.58731952327,163950.3511468324,190338.33224599645,227289.99097025883,231225.89453481007,165199.0
76011,32.7543,-97.08223,Arlington,TX,21701.0,1030.3,TX,Arlington,94187.56385683168,104956.60767568099,120075.32127308921,136786.63065971612,150098.68275865854,166368.69934746085,189636.76837222092,226572.41284645698,235867.97151821,73189.0
76012,32.75459,-97.13901,Arlington,TX,28750.0,1354.1,TX,Arlington,164196.26631371773,181011.47308219157,199646.57860784885,216880.61910893966,225818.1554747034,237754.46435170175,273404.78530440485,328198.8637097289,333209.72078340605,57772.0
76013,32.72027,-97.15652,Arlington,TX,34457.0,1482.2,TX,Pantego,149061.6518753737,164357.34604508677,181632.5255329722,199660.43249603637,209781.9327580271,222362.8498054458,254763.5550319427,305167.8726178954,309747.6217366239,70435.0
76014,32.69201,-97.08814,Arlington,TX,32460.0,2185.0,TX,Arlington,101424.16233373374,117361.80460461747,135587.10502778352,153935.7033200234,167640.2990745736,180993.37259025205,209496.4041384712,253754.09677008924,258377.68092962337,105122.0
76015,32.69204,-97.13341,Arlington,TX,17629.0,1595.7,TX,Arlington,121329.67331290891,136380.56972740995,153152.58127074453,170714.7229317911,183286.46615297967,197251.46438684978,226622.05213834086,273834.74079296755,278063.3193876715,44058.0
76016,32.68907,-97.18868,Arlington,TX,31008.0,1353.4,TX,Arlington,171349.83351567536,188223.87447186408,206062.56179495493,223256.17642296242,233106.4781025937,247152.56164934937,285374.79652582324,340859.3050238365,343871.6798603174,50829.0
76017,32.66223,-97.16237,Arlington,TX,45429.0,1718.5,TX,Arlington,150548.20907124647,167844.7523592293,184063.823317453,201802.217874589,212142.77542236404,225141.38022018157,260400.71669882428,314415.81772081496,315495.70472712984,91671.0
76018,32.66074,-97.08967,Arlington,TX,28553.0,1403.9,TX,Arlington,128125.2939246347,143992.07446259187,162077.52974743684,181064.20386878168,193147.95517065536,206272.95799968214,239549.63060131276,292277.3004998521,293372.0519394359,65555.0
76020,32.90102,-97.56483,Azle,TX,32443.0,193.0,TX,Azle,159728.68792815495,175438.15324408028,193118.91389088603,210495.39530808924,225002.4570282373,237714.92306121704,276100.38616063393,330320.25053803116,326127.6183603308,54443.0
76021,32.8523,-97.13128,Bedford,TX,35401.0,1883.8,TX,Bedford,194430.09028384826,216829.07017282982,237914.19263016593,255916.0413391467,265334.01949317625,278507.9387369618,315783.77865272464,374273.52781477384,384608.68730087095,64096.0
76022,32.83063,-97.14506,Bedford,TX,14224.0,2036.0,TX,Bedford,138479.31089304312,154894.83403120257,173439.67406521903,191815.04429915003,204171.83624098054,217986.79497471635,248321.47373752805,297325.20817677263,303380.19834966294,32413.0
