zipcode_x,latitude,longitude,city,state,population,density,zipcode_y,City,2015,2016,2017,2018,2019,2020,2021,2022,2023
75056,33.07541,-96.90978,The Colony,TX,64243.0,1049.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75057,33.05012,-96.9772,Lewisville,TX,16855.0,488.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75058,33.4473,-96.73546,Gunter,TX,3369.0,24.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75060,32.79774,-96.95295,Irving,TX,49473.0,1580.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75061,32.82607,-96.96563,Irving,TX,56959.0,1893.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75062,32.847,-96.95813,Irving,TX,51846.0,1890.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75063,32.90797,-96.9961,Irving,TX,43705.0,834.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75065,33.11108,-97.01277,Lake Dallas,TX,12549.0,585.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75067,33.01416,-97.00268,Lewisville,TX,67837.0,1941.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75068,33.17713,-96.95228,Little Elm,TX,65880.0,912.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75069,33.16805,-96.59671,Mckinney,TX,37479.0,429.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75070,33.15587,-96.69742,Mckinney,TX,54444.0,1863.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75071,33.24558,-96.62951,Mckinney,TX,63828.0,332.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75072,33.1875,-96.70099,Mckinney,TX,54446.0,1743.3,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75074,33.03298,-96.67304,Plano,TX,51820.0,1252.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75075,33.02163,-96.74043,Plano,TX,36221.0,1441.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75076,33.79608,-96.71913,Pottsboro,TX,8592.0,65.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75077,33.07921,-97.06401,Lewisville,TX,39125.0,1071.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75078,33.24526,-96.80791,Prosper,TX,35939.0,439.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75080,32.97382,-96.7416,Richardson,TX,52420.0,1789.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75081,32.94969,-96.70899,Richardson,TX,36683.0,1571.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75082,32.99208,-96.66536,Richardson,TX,26801.0,1262.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75087,32.94581,-96.44136,Rockwall,TX,39202.0,514.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75088,32.89368,-96.53929,Rowlett,TX,26363.0,1097.3,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75089,32.93195,-96.54435,Rowlett,TX,35203.0,1123.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75090,33.6054,-96.54657,Sherman,TX,24866.0,122.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75092,33.64869,-96.70011,Sherman,TX,26794.0,90.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75093,33.03521,-96.80943,Plano,TX,46868.0,1267.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75094,33.01871,-96.61481,Plano,TX,23345.0,1257.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75098,33.01432,-96.53531,Wylie,TX,64326.0,775.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75101,32.27003,-96.70239,Bardwell,TX,679.0,317.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75102,32.08274,-96.63999,Barry,TX,1795.0,10.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75103,32.51201,-95.88363,Canton,TX,15900.0,31.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75104,32.58295,-96.96712,Cedar Hill,TX,49566.0,518.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75105,32.26717,-96.36682,Chatfield,TX,207.0,2.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75109,32.04246,-96.35622,Corsicana,TX,4288.0,13.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75110,32.08071,-96.52344,Corsicana,TX,30555.0,85.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75114,32.60769,-96.44322,Crandall,TX,6438.0,57.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75115,32.59831,-96.86433,Desoto,TX,55879.0,1025.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75116,32.66013,-96.91402,Duncanville,TX,21105.0,1597.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
