state,zipcode,Net_Income
TX,77568,42599
TX,77571,65475
TX,77573,107432
TX,77575,28787
TX,77577,2655
TX,77578,27543
TX,77580,2268
TX,77581,69131
TX,77583,51121
TX,77584,105369
TX,77585,1707
TX,77586,34410
TX,77587,44160
TX,77590,75376
TX,77591,38641
TX,77597,1365
TX,77598,58643
TX,77611,16308
TX,77612,14531
TX,77613,2501
TX,77614,1786
TX,77615,2123
TX,77616,1878
TX,77619,31643
TX,77622,2646
TX,77623,898
TX,77624,1398
TX,77625,16024
TX,77627,41308
TX,77629,1678
TX,77630,59152
TX,77632,34505
TX,77640,42151
TX,77642,90333
TX,77650,4581
TX,77651,21393
TX,77655,981
TX,77656,34662
TX,77657,34661
TX,77659,7511
TX,77660,2661
TX,77661,1538
TX,77662,49418
TX,77663,2231
TX,77664,4836
TX,77665,13521
TX,77701,42742
TX,77702,8278
TX,77703,45178
TX,77705,65798
TX,77706,50441
TX,77707,38541
TX,77708,33175
TX,77713,22923
TX,77801,40151
TX,77802,50998
TX,77803,85853
TX,77807,23168
TX,77808,22893
TX,77830,5629
TX,77831,6723
TX,77833,57923
TX,77835,4727
TX,77836,24158
TX,77837,4496
TX,77840,88622
TX,77845,88169
TX,77853,2092
TX,77855,441
TX,77856,9021
TX,77857,1938
TX,77859,18847
TX,77861,4809
TX,77864,20829
TX,77865,2666
TX,77868,33081
TX,77871,7304
TX,77872,3415
TX,77873,2747
TX,77876,891
TX,77878,2102
TX,77879,10914
TX,77880,4197
TX,77901,110396
TX,77904,48650
TX,77905,27694
TX,77951,6343
TX,77954,22150
TX,77957,17644
TX,77962,6294
TX,77963,11248
TX,77964,15752
TX,77968,4468
TX,77970,587
TX,77971,1731
TX,77974,872
TX,77975,3425
TX,77976,690
TX,77977,1974
TX,77978,1326
TX,77979,36115
TX,77982,2145
TX,77983,4709
TX,77984,8607
TX,77987,403
TX,77988,1676
TX,77990,1335
TX,77991,1040
TX,77994,788
TX,77995,20720
TX,78002,21118
TX,78003,20563
TX,78004,708
TX,78005,1534
TX,78006,55612
TX,78008,564
TX,78009,15928
TX,78010,7483
TX,78011,4336
TX,78012,1125
TX,78013,13018
TX,78014,12366
TX,78015,15737
TX,78016,21592
TX,78017,9908
TX,78019,2146
TX,78022,10631
TX,78023,37125
TX,78024,3114
TX,78025,13050
TX,78026,11976
TX,78027,656
TX,78028,87093
TX,78039,3779
TX,78040,150740
TX,78041,143721
TX,78043,143532
TX,78044,5914
TX,78045,140944
TX,78046,222779
TX,78050,2560
TX,78052,17832
TX,78055,3472
TX,78056,2260
TX,78057,2194
TX,78058,2803
TX,78059,10826
TX,78061,25564
