zipcode,latitude,longitude,state,population,Net_Income,bedroom_number,bathroom_number,living_space,land_space,Year,Price
75423,33.29,-96.2,TX,3055,5013,4,3,2127,629,2015,142822.81
75426,33.66,-95.01,TX,3774,14482,3,2,1686,2268,2015,66417.75
75428,33.27,-95.92,TX,11000,20522,3,2,1778,2837,2015,76830.21
75432,33.39,-95.67,TX,3055,7141,3,2,2371,959,2015,74431.75
75435,33.5,-95.3,TX,1137,2146,3,2,1578,12,2015,92028.86
75436,33.74,-95.25,TX,2155,4661,4,2,2175,2931,2015,111806.83
75438,33.61,-96.07,TX,953,1976,3,2,1781,0,2015,135063.42
75440,32.88,-95.75,TX,6665,12782,3,3,2380,532,2015,163367.96
75446,33.61,-95.89,TX,3536,6710,3,2,1854,521,2015,97344.81
75447,33.76,-96.12,TX,1067,2138,3,3,3018,21,2015,158942.02
75449,33.42,-95.95,TX,1165,2214,2,2,1643,1,2015,74666.49
75452,33.39,-96.24,TX,4688,8079,3,2,1894,1127,2015,134625.45
75453,33,-95.93,TX,2757,6466,3,2,1944,4,2015,124217.11
75454,33.28,-96.56,TX,15341,13172,4,3,2613,5648,2015,241328.12
75455,33.22,-94.98,TX,26687,70314,3,2,2211,1251,2015,115158.1
75457,33.17,-95.21,TX,6228,14351,3,3,2148,630,2015,144880.07
75459,33.53,-96.68,TX,5709,9030,3,3,2278,4,2015,140837.76
75460,33.66,-95.6,TX,24287,64165,3,2,1729,4551,2015,84187.35
75462,33.62,-95.48,TX,11232,21316,3,3,2366,1720,2015,149504.25
75473,33.81,-95.48,TX,3773,6869,3,3,2454,5,2015,147527.04
75479,33.63,-96.34,TX,2122,3981,3,2,1745,1,2015,130745.59
75486,33.76,-95.75,TX,2442,4647,3,2,2034,2,2015,153379.83
75490,33.44,-96.31,TX,2891,4015,3,3,2086,1018,2015,163464.67
75491,33.5,-96.39,TX,4914,9001,4,3,2670,1242,2015,144097.56
75494,32.91,-95.26,TX,10785,23489,3,2,1886,1343,2015,131028.6
75495,33.43,-96.55,TX,9208,12958,4,3,2452,4901,2015,199554.42
75496,33.36,-96.07,TX,3578,6613,3,2,1860,1918,2015,101797.2
75497,32.92,-95.58,TX,3623,7041,3,2,2421,268,2015,188031.51
75501,33.37,-94.13,TX,35111,89338,3,2,2040,1873,2015,97324.78
75503,33.51,-94.13,TX,27361,50219,4,3,2837,1073,2015,156581.24
75551,33.12,-94.2,TX,11040,23098,3,2,2007,8,2015,105659.26
75554,33.59,-94.79,TX,2078,3036,3,2,1769,15,2015,109341.78
75555,32.95,-94.14,TX,1424,3187,4,3,2861,11,2015,115036.16
75559,33.5,-94.64,TX,5392,12020,3,2,1499,1,2015,106553.81
75561,33.52,-94.28,TX,4626,12021,3,8,2192,5,2015,98073.12
75563,33.02,-94.39,TX,3816,9149,3,2,1652,953,2015,85024.03
75568,33.2,-94.59,TX,2873,6894,3,2,2097,29,2015,94984.18
75569,33.44,-94.12,TX,3478,9695,3,2,1297,10018,2015,102096.25
75570,33.46,-94.44,TX,11162,18761,3,3,2411,487,2015,101832.21
75571,33.21,-94.76,TX,2367,6109,4,2,1959,1604,2015,100408.1
75572,33.23,-94.13,TX,3474,8555,3,2,1835,1184,2015,100514.3
75601,32.51,-94.72,TX,15683,35174,3,3,2601,3230,2015,128145.74
75602,32.46,-94.66,TX,21024,58327,3,2,2236,3320,2015,80141.25
75603,32.4,-94.72,TX,6733,12598,4,3,1960,3,2015,150191
75604,32.51,-94.83,TX,30349,70042,4,2,2255,1419,2015,142442.12
75605,32.58,-94.72,TX,33730,57649,4,3,2714,1334,2015,183533.03
75630,32.88,-94.56,TX,2306,5016,3,2,1903,2084,2015,124421.22
75633,32.13,-94.28,TX,12799,28256,3,2,2166,197,2015,126073.81
75638,33.02,-94.73,TX,5001,13795,3,2,1960,706,2015,82637.43
75640,32.72,-94.68,TX,5791,8535,3,2,2187,6,2015,173955.97
75647,32.52,-94.96,TX,12405,29682,3,2,2258,723,2015,121948.2
75650,32.52,-94.55,TX,9239,17812,4,3,2516,923,2015,188874.03
75656,33.01,-94.59,TX,4768,10289,3,2,1782,5,2015,92844.61
75657,32.79,-94.3,TX,7366,18846,3,2,1693,716,2015,131541.98
75662,32.38,-94.88,TX,25153,51436,3,3,2224,998,2015,130558.38
75667,31.99,-94.84,TX,1457,2487,3,2,1706,17,2015,122796.23
75670,32.56,-94.42,TX,18855,46582,3,2,1725,4195,2015,84951.18
75672,32.47,-94.29,TX,16700,33747,3,2,1984,1002,2015,148191.54
75681,31.94,-94.68,TX,2563,5865,3,2,2347,21,2015,116696.58
75683,32.82,-94.74,TX,3998,8584,3,2,1728,4803,2015,97061.72
75686,32.97,-94.95,TX,13396,30967,3,3,2410,251,2015,121386.48
75692,32.47,-94.12,TX,4698,10363,3,2,1739,456,2015,136103.61
